timestamp,threat_type,source_ip,destination_ip,confidence,details
2026-07-18T13:23:52.724250,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:53.754445,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:54.778180,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:55.753620,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:56.788282,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:57.811667,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:58.839101,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:23:59.897918,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:24:00.922043,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:24:01.946724,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:24:02.970289,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:24:03.988814,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:24:05.017955,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:24:06.042492,signature,10.53.249.66,,1.0,"{'type': 'signature', 'rule': 'arp_spoofing', 'ip': '10.53.249.66', 'original_mac': 'de:35:bd:b7:7f:1a', 'new_mac': 'bc:cd:99:c0:7c:d6', 'confidence': 1.0}"
2026-07-18T13:24:16.644289,signature,10.53.249.27,10.53.249.52,1.0,"{'type': 'signature', 'rule': 'port_scan', 'ip': '10.53.249.27', 'distinct_ports': 15, 'confidence': 1.0}"
2026-07-18T13:24:16.698950,signature,10.53.249.52,10.53.249.27,1.0,"{'type': 'signature', 'rule': 'port_scan', 'ip': '10.53.249.52', 'distinct_ports': 15, 'confidence': 1.0}"
2026-07-18T13:24:21.712956,signature,10.53.249.27,185.60.218.53,1.0,"{'type': 'signature', 'rule': 'port_scan', 'ip': '10.53.249.27', 'distinct_ports': 86, 'confidence': 1.0}"
2026-07-18T13:24:24.271354,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -20.828, 'confidence': 1.0}"
2026-07-18T13:24:40.427692,anomaly,185.60.218.53,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -58.883, 'confidence': 1.0}"
